"Date","Price","Open","High","Low","Vol.","Change %"
"04/12/2024","2,374.10","2,389.40","2,448.80","2,350.60","479.89K","0.06%"
"04/11/2024","2,372.70","2,351.70","2,395.60","2,343.10","260.42K","1.03%"
"04/10/2024","2,348.40","2,372.40","2,378.10","2,337.10","353.85K","-0.59%"
"04/09/2024","2,362.40","2,358.10","2,384.50","2,355.70","279.61K","0.48%"
"04/08/2024","2,351.00","2,343.60","2,372.50","2,321.70","285.57K","0.24%"
"04/05/2024","2,345.40","2,309.50","2,350.00","2,286.20","293.21K","1.60%"
"04/04/2024","2,308.50","2,321.00","2,325.30","2,298.70","236.23K","-0.28%"
"04/03/2024","2,315.00","2,301.70","2,321.80","2,285.70","254.57K","1.45%"
"04/02/2024","2,281.80","2,272.70","2,301.90","2,267.10","277.23K","1.09%"
"04/01/2024","2,257.10","2,259.20","2,286.40","2,249.10","220.77K","0.84%"
"03/28/2024","2,238.40","2,215.70","2,256.90","2,207.50","250.25K","1.16%"
"03/27/2024","2,212.70","2,200.50","2,218.30","2,193.70","191.46K","1.14%"
"03/26/2024","2,187.80","2,183.00","2,210.70","2,179.30","1.59K","0.05%"
"03/25/2024","2,186.80","2,177.50","2,192.70","2,175.00","0.96K","0.76%"
"03/22/2024","2,170.20","2,193.30","2,198.00","2,169.30","0.64K","-1.13%"
"03/21/2024","2,195.00","2,200.10","2,231.30","2,178.90","0.92K","1.11%"
"03/20/2024","2,171.00","2,171.30","2,201.40","2,164.20","0.66K","0.06%"
"03/19/2024","2,169.80","2,174.20","2,175.00","2,162.10","0.36K","-0.22%"
"03/18/2024","2,174.50","2,169.10","2,176.00","2,160.00","0.26K","0.13%"
"03/15/2024","2,171.60","2,175.50","2,186.70","2,169.40","0.21K","-0.28%"
"03/14/2024","2,177.80","2,190.00","2,190.50","2,168.30","0.35K","-0.61%"
"03/13/2024","2,191.10","2,174.40","2,195.70","2,172.90","0.35K","0.67%"
"03/12/2024","2,176.50","2,198.70","2,199.20","2,168.60","0.58K","-1.01%"
"03/11/2024","2,198.80","2,196.90","2,204.60","2,191.60","0.39K","0.16%"
"03/08/2024","2,195.30","2,176.30","2,211.50","2,172.10","0.46K","0.93%"
"03/07/2024","2,175.00","2,165.70","2,180.00","2,161.40","0.19K","0.32%"
"03/06/2024","2,168.00","2,145.30","2,168.30","2,142.70","0.17K","0.75%"
"03/05/2024","2,151.80","2,133.40","2,157.90","2,130.00","0.25K","0.73%"
"03/04/2024","2,136.20","2,101.10","2,136.50","2,099.90","0.14K","1.46%"
"03/01/2024","2,105.50","2,072.20","2,104.10","2,072.20","0.06K","1.99%"
"02/29/2024","2,064.40","2,060.00","2,063.40","2,060.00","0.01K","0.58%"
"02/28/2024","2,052.40","2,059.70","2,067.30","2,053.60","4.89K","0.41%"
"02/27/2024","2,044.10","2,041.20","2,049.10","2,038.10","148.78K","0.26%"
"02/26/2024","2,038.90","2,044.20","2,046.80","2,034.10","129.02K","-0.51%"
"02/23/2024","2,049.40","2,034.10","2,053.20","2,025.40","212.03K","0.92%"
"02/22/2024","2,030.70","2,036.50","2,045.50","2,029.30","147.95K","-0.18%"
"02/21/2024","2,034.30","2,036.20","2,043.50","2,030.90","120.60K","-0.27%"
"02/20/2024","2,039.80","2,027.70","2,042.70","2,023.90","202.43K","0.00%"
"02/19/2024","2,039.80","2,027.70","2,042.70","2,023.90","202.43K","0.78%"
"02/16/2024","2,024.10","2,016.10","2,027.20","2,006.60","162.36K","0.46%"
"02/15/2024","2,014.90","2,004.80","2,020.20","2,001.80","204.25K","0.53%"
"02/14/2024","2,004.30","2,006.30","2,008.80","1,996.40","193.61K","-0.14%"
"02/13/2024","2,007.20","2,033.70","2,047.30","2,002.80","217.57K","-1.27%"
"02/12/2024","2,033.00","2,038.20","2,041.80","2,025.40","116.03K","-0.28%"
"02/09/2024","2,038.70","2,049.70","2,051.90","2,034.30","116.03K","-0.45%"
"02/08/2024","2,047.90","2,051.00","2,053.80","2,034.60","137.08K","-0.19%"
"02/07/2024","2,051.70","2,052.60","2,061.30","2,046.40","125.63K","0.01%"
"02/06/2024","2,051.40","2,041.40","2,055.30","2,038.80","126.38K","0.42%"
"02/05/2024","2,042.90","2,057.90","2,059.10","2,030.80","170.43K","-0.53%"
"02/02/2024","2,053.70","2,072.00","2,074.70","2,044.20","219.80K","-0.84%"
"02/01/2024","2,071.10","2,057.90","2,083.20","2,046.40","260.92K","0.18%"
"01/31/2024","2,067.40","2,055.30","2,074.60","2,048.80","238.37K","0.80%"
"01/30/2024","2,050.90","2,051.50","2,068.00","2,047.10","214.59K","0.79%"
"01/29/2024","2,034.90","2,035.80","2,046.50","2,028.20","1.78K","0.41%"
"01/26/2024","2,026.60","2,028.90","2,035.70","2,025.40","0.41K","-0.02%"
"01/25/2024","2,027.10","2,025.40","2,034.00","2,017.00","0.46K","0.08%"
"01/24/2024","2,025.40","2,039.40","2,046.20","2,021.90","0.80K","-0.48%"
"01/23/2024","2,035.20","2,032.80","2,045.40","2,031.50","0.37K","0.18%"
"01/22/2024","2,031.50","2,040.40","2,043.00","2,027.40","0.33K","-0.34%"
"01/19/2024","2,038.50","2,033.70","2,050.10","2,031.80","0.30K","0.36%"
"01/18/2024","2,031.10","2,021.30","2,034.20","2,017.50","0.35K","0.75%"
"01/17/2024","2,015.90","2,040.80","2,041.00","2,014.60","0.18K","-1.17%"
"01/16/2024","2,039.70","2,060.00","2,069.70","2,037.50","0.48K","0.47%"
"01/15/2024","2,030.20","2,053.40","2,062.80","2,027.60","285.25K","-1.50%"
"01/12/2024","2,061.10","2,045.00","2,075.80","2,044.20","0.56K","1.59%"
"01/11/2024","2,028.90","2,039.40","2,060.10","2,027.40","0.36K","-0.42%"
"01/10/2024","2,037.50","2,046.20","2,052.00","2,036.40","0.13K","-0.25%"
"01/09/2024","2,042.70","2,044.60","2,054.90","2,041.90","0.18K","-0.02%"
"01/08/2024","2,043.20","2,061.50","2,061.50","2,035.10","0.21K","-0.80%"
"01/05/2024","2,059.70","2,063.60","2,079.00","2,041.70","0.29K","0.00%"
"01/04/2024","2,059.60","2,060.00","2,066.30","2,058.60","0.06K","0.35%"
"01/03/2024","2,052.50","2,082.70","2,082.70","2,049.20","0.08K","-1.46%"
"01/02/2024","2,083.00","2,084.30","2,094.70","2,075.40","0.07K","0.08%"
